Porosity_1,Permeability_1.1,Permeability_2.1,Permeability_3.1,Porosity_2,Permeability_1.2,Permeability_2.2,Permeability_3.2,Porosity_3,Permeability_1.3,Permeability_2.3,Permeability_3.3,Porosity_4,Permeability_1.4,Permeability_2.4,Permeability_3.4,Porosity_5,Permeability_1.5,Permeability_2.5,Permeability_3.5,Error
2.397893e-01,2.835326e-15,1.133245e-15,2.273346e-15,2.000000e-01,1.000000e-12,1.000000e-12,1.000000e-125,1.114568e-01,1.562201e-12,1.016203e-12,1.036840e-12,2.152126e-01,2.939403e-12,1.120658e-12,2.130210e-12,1.923200e-01,1.632757e-15,1.829732e-15,2.505851e-15,1.357652e+02
2.864000e-01,1.263596e-15,2.962468e-15,1.684273e-15,2.000000e-01,1.000000e-12,1.000000e-12,1.000000e-125,2.128997e-01,2.452881e-12,2.312501e-12,1.113727e-12,1.301823e-01,1.071321e-12,1.092928e-12,1.623791e-12,1.836784e-01,1.238801e-15,1.544954e-15,1.835264e-15,6.740894e+01
2.405402e-01,2.540073e-15,1.593773e-15,2.150862e-15,2.000000e-01,1.000000e-12,1.000000e-12,1.000000e-125,1.018156e-01,1.565511e-12,2.184331e-12,1.942853e-12,1.886105e-01,2.764499e-12,1.304583e-12,1.862306e-12,2.333186e-01,1.250331e-15,1.034254e-15,1.149092e-15,1.321331e+02
2.290904e-01,1.843325e-15,1.232031e-15,2.160085e-15,2.000000e-01,1.000000e-12,1.000000e-12,1.000000e-125,2.737815e-01,2.352718e-12,1.427244e-12,2.078967e-12,2.686305e-01,1.784834e-12,2.128359e-12,2.304313e-12,1.084514e-01,2.263170e-15,2.909854e-15,1.896888e-15,1.509830e+02
2.945027e-01,1.429108e-15,1.100354e-15,2.683147e-15,2.000000e-01,1.000000e-12,1.000000e-12,1.000000e-125,2.168596e-01,2.395837e-12,2.525431e-12,1.566201e-12,1.882057e-01,2.476699e-12,1.912182e-12,1.501210e-12,2.718245e-01,1.767523e-15,2.809590e-15,1.911799e-15,1.809767e+02
1.305056e-01,1.318038e-15,2.513369e-15,2.242684e-15,2.000000e-01,1.000000e-12,1.000000e-12,1.000000e-125,2.394346e-01,1.973983e-12,1.249788e-12,2.439665e-12,2.549714e-01,1.067198e-12,2.161037e-12,1.104859e-12,2.828807e-01,2.400390e-15,1.884553e-15,2.944004e-15,6.517568e+01
2.585476e-01,2.255456e-15,2.340113e-15,1.014370e-15,2.000000e-01,1.000000e-12,1.000000e-12,1.000000e-125,1.489053e-01,2.528274e-12,2.860097e-12,1.277928e-12,2.017511e-01,1.736914e-12,2.482743e-12,1.831690e-12,1.389714e-01,1.005455e-15,2.027362e-15,1.157245e-15,1.446479e+02
2.868530e-01,1.025282e-15,1.225132e-15,1.884074e-15,2.000000e-01,1.000000e-12,1.000000e-12,1.000000e-125,2.951198e-01,1.889128e-12,2.605346e-12,2.167250e-12,2.891864e-01,1.684066e-12,1.708663e-12,2.043302e-12,2.420063e-01,2.559101e-15,2.593183e-15,2.050218e-15,1.234990e+02
2.014131e-01,2.801904e-15,1.423965e-15,2.140355e-15,2.000000e-01,1.000000e-12,1.000000e-12,1.000000e-125,2.686690e-01,1.829503e-12,1.336595e-12,1.366405e-12,2.203629e-01,2.144549e-12,1.739387e-12,1.501051e-12,1.129470e-01,1.616741e-15,2.677018e-15,1.637188e-15,1.456959e+02
2.053695e-01,2.306224e-15,1.230869e-15,2.475549e-15,2.000000e-01,1.000000e-12,1.000000e-12,1.000000e-125,1.913692e-01,1.683170e-12,2.752188e-12,1.973675e-12,1.511824e-01,2.827987e-12,2.434475e-12,2.627665e-12,2.704594e-01,1.287225e-15,1.897291e-15,2.836442e-15,1.617562e+02
2.564331e-01,1.608625e-15,2.260557e-15,2.072628e-15,2.000000e-01,1.000000e-12,1.000000e-12,1.000000e-125,2.656582e-01,1.443904e-12,2.358473e-12,2.328139e-12,1.981457e-01,1.627492e-12,2.090828e-12,2.224656e-12,2.090773e-01,1.486819e-15,2.968712e-15,1.346492e-15,9.799863e+01
1.809960e-01,2.651893e-15,2.530915e-15,1.472782e-15,2.000000e-01,1.000000e-12,1.000000e-12,1.000000e-125,2.122026e-01,2.435651e-12,1.147916e-12,1.174610e-12,1.759532e-01,2.180373e-12,1.452325e-12,2.633475e-12,1.055871e-01,1.769807e-15,2.024626e-15,2.557068e-15,1.599203e+02
1.255655e-01,1.183498e-15,1.850860e-15,2.987281e-15,2.000000e-01,1.000000e-12,1.000000e-12,1.000000e-125,2.298730e-01,2.472255e-12,2.748114e-12,2.486282e-12,2.993908e-01,2.158182e-12,1.907225e-12,2.761422e-12,2.466067e-01,2.738246e-15,1.085397e-15,2.110337e-15,1.760971e+02
1.431205e-01,2.395564e-15,1.893715e-15,1.452422e-15,2.000000e-01,1.000000e-12,1.000000e-12,1.000000e-125,2.292394e-01,2.714599e-12,1.635603e-12,2.438596e-12,1.950827e-01,2.877509e-12,1.616904e-12,1.112595e-12,1.225537e-01,2.344065e-15,2.978426e-15,1.852782e-15,2.027120e+02
1.008746e-01,2.919450e-15,2.204958e-15,2.037807e-15,2.000000e-01,1.000000e-12,1.000000e-12,1.000000e-125,2.861177e-01,2.077230e-12,1.478842e-12,1.312052e-12,1.285926e-01,2.619321e-12,1.341716e-12,2.922423e-12,1.461077e-01,1.992351e-15,1.306201e-15,2.564745e-15,1.705549e+02
1.505390e-01,2.714825e-15,1.726795e-15,1.808633e-15,2.000000e-01,1.000000e-12,1.000000e-12,1.000000e-125,1.558539e-01,1.981396e-12,1.082669e-12,1.518606e-12,2.558672e-01,2.444906e-12,1.566016e-12,2.139557e-12,2.107548e-01,2.864197e-15,1.364918e-15,1.734543e-15,1.591443e+02
2.618743e-01,1.619731e-15,2.379888e-15,2.646163e-15,2.000000e-01,1.000000e-12,1.000000e-12,1.000000e-125,1.719529e-01,2.104292e-12,2.698397e-12,1.340255e-12,1.664128e-01,2.634890e-12,2.752121e-12,2.156920e-12,2.240823e-01,2.924100e-15,2.487737e-15,1.986311e-15,1.804179e+02
2.858404e-01,1.178873e-15,2.142008e-15,1.204239e-15,2.000000e-01,1.000000e-12,1.000000e-12,1.000000e-125,1.201264e-01,2.547865e-12,2.060670e-12,2.535585e-12,1.111104e-01,2.489232e-12,1.008103e-12,2.502608e-12,2.876734e-01,2.598133e-15,2.851157e-15,2.784755e-15,1.625838e+02
2.263825e-01,1.402258e-15,2.980184e-15,2.796844e-15,2.000000e-01,1.000000e-12,1.000000e-12,1.000000e-125,1.626824e-01,1.490373e-12,1.953758e-12,2.682827e-12,1.528219e-01,2.512206e-12,1.049333e-12,1.281902e-12,1.760939e-01,2.380210e-15,2.902344e-15,1.685357e-15,1.165609e+02
